id,user,gender,first_name,last_name,cpf,birthday,email,phone,cell,address,district,city,uf,cep,occupation,dealership,comissioned,comission,created_at,modified_at
1,2,F,Jo,Hartshorn,22908329743,1964-04-13,j.hartshorn@example.com,(29) 5568-1416,(87) 0538-1035,"Av. Ulisses Reis de Matos, 100",Morumbi,São Paulo,SP,00568-602,1,145,False,0,2015-06-08 02:49:28.321920+00,2015-06-08 02:49:28.321920+00
2,3,M,Judy,Lugo,55218151783,1985-08-24,j.lugo@example.com,(04) 4076-8098,(66) 4612-2529,"Av. Moreira Guimarães, 367",Moema,São Paulo,SP,04074-030,3,87,True,0.01,2015-06-08 02:49:28.322334+00,2015-06-08 02:49:28.322334+00
3,4,F,Becky,Fournier,58670376742,1985-03-19,b.fournier@example.com,(38) 6200-3488,(30) 6262-9122,"Av. Ulisses Reis de Matos, 100",Morumbi,São Paulo,SP,00568-602,4,105,False,0,2015-06-08 02:49:28.322724+00,2015-06-08 02:49:28.322724+00
4,5,F,Robert,Suttee,75033727201,1926-12-09,r.suttee@example.com,(58) 7635-8266,(65) 5201-5002,"Av. Pacaembú, 380",Barra Funda,São Paulo,SP,01155-000,4,48,False,0,2015-06-08 02:49:28.323117+00,2015-06-08 02:49:28.323117+00
5,6,M,Michael,Crutcher,74693281689,1994-08-25,m.crutcher@example.com,(26) 6197-2606,(57) 6131-7290,"Av. Ulisses Reis de Matos, 100",Morumbi,São Paulo,SP,00568-602,4,119,False,0,2015-06-08 02:49:28.323507+00,2015-06-08 02:49:28.323507+00
6,7,M,Robert,Bauer,94844596993,1980-02-01,r.bauer@example.com,(59) 7749-3073,(58) 3159-4359,"Av. Indianópolis, 100",Indianópolis,São Paulo,SP,04062-000,4,37,False,0,2015-06-08 02:49:28.323898+00,2015-06-08 02:49:28.323898+00
7,8,M,Deborah,Hightower,66424879564,1972-11-09,d.hightower@example.com,(77) 0370-7321,(66) 2961-2202,"Av. Indianópolis, 100",Indianópolis,São Paulo,SP,04062-000,4,106,False,0,2015-06-08 02:49:28.324225+00,2015-06-08 02:49:28.324225+00
8,9,F,Jeffrey,Wales,46703758088,1990-07-18,j.wales@example.com,(02) 2909-9647,(06) 1572-3728,"Av. Pacaembú, 380",Barra Funda,São Paulo,SP,01155-000,4,14,False,0,2015-06-08 02:49:28.324491+00,2015-06-08 02:49:28.324491+00
9,10,F,William,Lewis,34062852891,1966-06-08,w.lewis@example.com,(38) 5437-0492,(05) 5297-9441,"Av. Moreira Guimarães, 367",Moema,São Paulo,SP,04074-030,3,62,True,0.01,2015-06-08 02:49:28.324710+00,2015-06-08 02:49:28.324710+00
10,11,F,Felicia,Bignall,83906438436,1944-08-27,f.bignall@example.com,(27) 1251-5096,(89) 7574-0313,"Av. Ulisses Reis de Matos, 100",Morumbi,São Paulo,SP,00568-602,3,105,True,0.01,2015-06-08 02:49:28.325015+00,2015-06-08 02:49:28.325015+00
11,12,M,Laura,Mantini,85582619936,1960-08-05,l.mantini@example.com,(64) 5756-4422,(28) 4288-1793,"Av. Indianópolis, 100",Indianópolis,São Paulo,SP,04062-000,4,140,False,0,2015-06-08 02:49:28.325405+00,2015-06-08 02:49:28.325405+00
12,13,M,Alicia,Dickey,84015874101,1964-04-02,a.dickey@example.com,(04) 2582-7416,(32) 9455-1538,"Av. Ulisses Reis de Matos, 100",Morumbi,São Paulo,SP,00568-602,4,10,False,0,2015-06-08 02:49:28.325811+00,2015-06-08 02:49:28.325811+00
13,14,M,Jamie,Troupe,82828296876,1941-04-24,j.troupe@example.com,(03) 4337-2421,(21) 2340-9856,"Av. Moreira Guimarães, 367",Moema,São Paulo,SP,04074-030,3,102,True,0.01,2015-06-08 02:49:28.326177+00,2015-06-08 02:49:28.326177+00
14,15,F,Melanie,Anderson,11958828455,1917-07-08,m.anderson@example.com,(95) 0701-8539,(56) 3675-8690,"Rua Padre Machado, 68",Vila Mariana,São Paulo,SP,04127-001,2,104,False,0,2015-06-08 02:49:28.326565+00,2015-06-08 02:49:28.326565+00
15,16,F,Joyce,Felton,06987221655,1982-08-12,j.felton@example.com,(31) 3911-8348,(56) 6213-6018,"Av. Moreira Guimarães, 367",Moema,São Paulo,SP,04074-030,4,86,False,0,2015-06-08 02:49:28.326912+00,2015-06-08 02:49:28.326912+00
16,17,M,Patrick,Whitmire,53972742859,1990-08-06,p.whitmire@example.com,(61) 5785-6569,(16) 7124-3809,"Av. Moreira Guimarães, 367",Moema,São Paulo,SP,04074-030,3,137,True,0.01,2015-06-08 02:49:28.327131+00,2015-06-08 02:49:28.327131+00
