id,password,last_login,is_superuser,username,first_name,last_name,email,is_staff,is_active,date_joined
2,jo,2015-06-08 02:26:12.736326+00,False,jo.hartshorn,Jo,Hartshorn,j.hartshorn@example.com,True,True,2015-06-08 02:26:12.736326+00
3,judy,2015-06-08 02:26:12.739517+00,False,judy.lugo,Judy,Lugo,j.lugo@example.com,True,True,2015-06-08 02:26:12.739517+00
4,becky,2015-06-08 02:26:12.742405+00,False,becky.fournier,Becky,Fournier,b.fournier@example.com,True,True,2015-06-08 02:26:12.742405+00
5,robert,2015-06-08 02:26:12.853761+00,False,robert.suttee,Robert,Suttee,r.suttee@example.com,True,True,2015-06-08 02:26:12.853761+00
6,michael,2015-06-08 02:26:12.861188+00,False,michael.crutcher,Michael,Crutcher,m.crutcher@example.com,True,True,2015-06-08 02:26:12.861188+00
7,robert,2015-06-08 02:26:12.862343+00,False,robert.bauer,Robert,Bauer,r.bauer@example.com,True,True,2015-06-08 02:26:12.862343+00
8,deborah,2015-06-08 02:26:12.864592+00,False,deborah.hightower,Deborah,Hightower,d.hightower@example.com,True,True,2015-06-08 02:26:12.864592+00
9,jeffrey,2015-06-08 02:26:12.872935+00,False,jeffrey.wales,Jeffrey,Wales,j.wales@example.com,True,True,2015-06-08 02:26:12.872935+00
10,william,2015-06-08 02:26:12.873311+00,False,william.lewis,William,Lewis,w.lewis@example.com,True,True,2015-06-08 02:26:12.873311+00
11,felicia,2015-06-08 02:26:12.985148+00,False,felicia.bignall,Felicia,Bignall,f.bignall@example.com,True,True,2015-06-08 02:26:12.985148+00
12,laura,2015-06-08 02:26:13.036003+00,False,laura.mantini,Laura,Mantini,l.mantini@example.com,True,True,2015-06-08 02:26:13.036003+00
13,alicia,2015-06-08 02:26:13.038114+00,False,alicia.dickey,Alicia,Dickey,a.dickey@example.com,True,True,2015-06-08 02:26:13.038114+00
14,jamie,2015-06-08 02:26:13.046863+00,False,jamie.troupe,Jamie,Troupe,j.troupe@example.com,True,True,2015-06-08 02:26:13.046863+00
15,melanie,2015-06-08 02:26:13.047704+00,False,melanie.anderson,Melanie,Anderson,m.anderson@example.com,True,True,2015-06-08 02:26:13.047704+00
16,joyce,2015-06-08 02:26:13.051858+00,False,joyce.felton,Joyce,Felton,j.felton@example.com,True,True,2015-06-08 02:26:13.051858+00
17,patrick,2015-06-08 02:26:13.058168+00,False,patrick.whitmire,Patrick,Whitmire,p.whitmire@example.com,True,True,2015-06-08 02:26:13.058168+00
18,evelyn,2015-06-08 02:26:13.059365+00,False,evelyn.herring,Evelyn,Herring,e.herring@example.com,True,True,2015-06-08 02:26:13.059365+00
19,anne,2015-06-08 02:26:13.059656+00,False,anne.rodriguez,Anne,Rodriguez,a.rodriguez@example.com,True,True,2015-06-08 02:26:13.059656+00
20,german,2015-06-08 02:26:13.156757+00,False,german.morgia,German,Morgia,g.morgia@example.com,True,True,2015-06-08 02:26:13.156757+00
